unique_gauge_id,longitude,latitude,HYBAS_ID,NEXT_DOWN,UP_AREA,SUB_AREA,continent,provider,data_source,is_hybas_entry,assigned,generous,rp2,rp5,file_present_all_null,f1_of_record,has_metric_file
GRDC_1577800,40.73,11.4,1120760100,1120757360,4647.9,164.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1578100,39.03,7.02,1120939640,1120939290,988.9,122.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1578200,39.33,7.0,1120938830,1120937640,288.1,139.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1578500,43.0,5.0,1122038680,1121017990,127.2,127.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1580300,39.68,5.52,1120998070,1120998080,10647.3,161.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1582700,37.58,8.23,1120892010,1120894890,15999.8,148.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1582800,37.77,8.25,1120892170,1120894890,2007.9,171.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1582820,37.9,8.1,1120894810,1120894420,346.0,166.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1582850,37.92,8.13,1121990610,1120894810,179.4,179.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1587200,38.13,5.92,1122026410,1120990000,661.3,111.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591001,23.25,-16.116667,1121443520,1121443910,289722.8,94.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
hybas_1121443520,23.27708333333021,-16.185416666667265,1121443520,1121443910,289722.8,94.0,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1591002,23.2333,-14.3833,1121409410,1121411540,213446.8,55.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591003,24.25,-11.1333,1121352890,1121353280,192.4,192.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591110,24.25,-11.2333,1121352890,1121353280,192.4,192.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591100,23.15,-13.3333,1121391870,1122184680,6265.4,162.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591200,23.6,-14.016667,1122190450,1121403900,69955.6,205.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591230,24.23,-13.75,1122187360,1121398670,44203.4,132.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591231,24.2166,-13.6,1121396130,1122187340,42374.6,123.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591235,24.3333,-13.4333,1121393110,1122185140,5051.3,153.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591237,24.4166,-11.5333,1122169980,1121361410,724.1,172.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591240,26.25,-12.4,1121375630,1121377250,1741.2,6.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591245,25.866667,-13.45,1121393620,1121393880,1117.5,218.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591300,26.483333,-17.216667,1121463650,1122218640,803.8,134.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591400,27.16666,-11.7833,1122171840,1122172380,501.3,175.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591401,28.2166,-15.8166,1122205640,1121436280,152766.1,201.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591402,27.03,-15.75,1121434390,1121434250,136601.6,17.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591403,26.0166,-15.76666,1122205230,1121436190,107201.1,247.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
hybas_1122205230,26.106249999996805,-15.789583333333953,1122205230,1121436190,107201.1,247.4,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1591404,25.9166,-14.93333,1122197520,1121421080,96100.5,138.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591405,27.0,-14.4166,1121410090,1121410010,51260.8,65.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591406,27.61666,-13.65,1121396160,1121397650,23113.0,148.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591474,27.59,-13.6333,1121396160,1121397650,23113.0,148.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591408,26.45,-14.566667,1121412570,1121414940,55329.1,99.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591410,28.0166,-16.1666,1122207970,1122207220,141.8,141.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591411,27.6833,-15.9,1122205630,1122205160,565.1,140.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591412,28.13,-16.25,1121443230,1121445140,190.8,190.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591420,27.6,-15.9666,1121438840,1122205700,1790.3,46.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591430,28.166667,-15.166667,1121423430,1121423350,411.9,138.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591435,26.333333,-13.7,1122187410,1121398450,19905.6,134.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591440,27.366667,-13.833333,1121400050,1121400740,9000.0,151.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591441,27.35,-12.9166,1122180250,1122180820,2768.9,142.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591450,27.33,-15.22,1122200090,1122200960,913.3,148.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591460,28.2166,-13.3,1121389940,1122183230,4885.2,237.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591520,28.216667,-13.25,1121389940,1122183230,4885.2,237.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591470,27.82,-13.4,1121392970,1121393690,18926.2,84.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591471,28.1333,-13.25,1122183230,1122183320,16571.5,133.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591475,28.4,-13.216667,1121389080,1121389820,1411.1,214.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591476,28.583333,-13.183333,1121388820,1121389080,1066.7,82.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591480,28.25,-12.88,1121385490,1121385770,9572.5,187.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591481,27.733333,-12.416667,1122175660,1121376180,5052.0,228.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591482,26.8,-12.266667,1122175490,1121375820,793.4,206.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591490,27.1333,-11.8666,1121368220,1121368650,439.9,190.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591500,28.36666,-12.8666,1121383590,1121383770,229.0,229.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591700,31.0333,-13.2166,1121391420,1121390820,1101.1,115.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591710,32.8166,-13.15,1121388720,1121388520,187.3,187.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591720,28.55,-14.3,1121408140,1122192620,1537.3,180.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591730,30.216667,-14.966667,1121421250,1121422030,142734.5,181.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591800,28.5,-15.21666,1121424480,1122200350,809.5,79.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1591810,28.3333,-15.3333,1122200520,1121424680,168.7,168.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1591820,22.6833,-14.9666,1121420810,1121421510,33131.9,35.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1597001,31.749444,-25.943611,1122275490,1121598050,8050.3,168.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1597002,31.103889,-26.033333,1122275810,1122275910,6329.2,243.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
